to_address, from_address, block_number, datetime, amount_ether
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6264887, '2018-09-03 07:40:20', 0.5036956463886711)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6269513, '2018-09-04 02:24:25', 0.5011238527505161)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6274108, '2018-09-04 20:48:56', 0.501202697092892)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6278704, '2018-09-05 15:11:58', 0.5014053895388038)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6283210, '2018-09-06 09:14:26', 0.5016295792518233)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6287754, '2018-09-07 03:24:17', 0.5020031526637303)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6295344, '2018-09-08 10:08:39', 0.5034217632943019)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6299316, '2018-09-09 02:28:54', 0.5018059957472649)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6303581, '2018-09-09 19:40:13', 0.5011564979300727)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0x323632d993fe227753ab7cc9c14834f60e043abf', 6304886, '2018-09-10 01:04:53', 20.0)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6307668, '2018-09-10 12:08:34', 0.5020675945149214)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6311673, '2018-09-11 03:56:25', 0.5010757476675236)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6315836, '2018-09-11 20:40:37', 0.5032108528667746)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6319983, '2018-09-12 13:07:12', 0.50212520543634)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6324022, '2018-09-13 05:16:48', 0.5013848647397503)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6328023, '2018-09-13 20:59:42', 0.5023534881323146)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6332098, '2018-09-14 13:18:07', 0.5006416080019254)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6336074, '2018-09-15 04:56:30', 0.5026857087067341)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6339983, '2018-09-15 20:32:50', 0.5019500170021076)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6343941, '2018-09-16 11:58:15', 0.5040362889665485)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6347936, '2018-09-17 04:00:28', 0.5028654990999459)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6351686, '2018-09-17 18:31:47', 0.501092369551349)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6355578, '2018-09-18 10:20:07', 0.5000558028757699)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6359432, '2018-09-19 01:30:02', 0.5012406240903278)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6363402, '2018-09-19 17:08:48', 0.5012679709467589)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6367463, '2018-09-20 09:20:58', 0.5012860375300174)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6371159, '2018-09-21 00:08:02', 0.5032964668025491)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6375000, '2018-09-21 15:16:58', 0.5022968317664872)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6379013, '2018-09-22 07:16:37', 0.5013912023778576)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6383095, '2018-09-22 23:30:32', 0.501563512419266)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6387136, '2018-09-23 15:10:27', 0.5030282286713971)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6391300, '2018-09-24 07:35:42', 0.500437680778194)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6395438, '2018-09-24 23:55:53', 0.5007280566074052)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6399933, '2018-09-25 17:34:29', 0.5031768782617106)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6405011, '2018-09-26 13:33:12', 0.5015855271523554)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6409025, '2018-09-27 05:24:10', 0.5004243889024548)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6413062, '2018-09-27 21:14:50', 0.5030759158151151)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6417148, '2018-09-28 13:34:15', 0.5018300424650408)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6421077, '2018-09-29 04:52:25', 0.5050821852084395)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6425307, '2018-09-29 21:16:56', 0.5018184742318458)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6429419, '2018-09-30 13:40:22', 0.501164093373784)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6433424, '2018-10-01 05:33:03', 0.5015434509430582)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6437624, '2018-10-01 22:00:17', 0.502085562935964)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6441558, '2018-10-02 13:15:23', 0.500048665785798)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6445715, '2018-10-03 05:33:49', 0.5013569067938888)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6450125, '2018-10-03 23:00:38', 0.503861807392698)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6454336, '2018-10-04 15:15:15', 0.5013904927627727)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6483084, '2018-10-09 06:57:23', 0.5008448846014301)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6489286, '2018-10-10 07:01:34', 0.7660906064583354)
